qubit_num, error1, correct1, error, correct, error_n, correct_n, contrast1, contrast2
4, 1, 2, 0, 2, 2, 2, 392.23057644110276, 467.7871148459384
5, 1, 1, 1, 1, 1, 1, 117.8294573643411, 139.40397350993376
6, 3, 1, 3, 1, 3, 1, 53.76344086021505, 57.52405949256343
7, 3, 1, 2, 3, 4, 2, 42.96591733139957, 50.06587615283268
8, 17, 4, 16, 7, 16, 6, 42.922673656618606, 44.47751322751323
9, 15, 0, 15, 6, 14, 3, 34.34085426422591, 40.74074074074073
10, 17, 6, 14, 5, 8, 3, 31.241997439180533, 36.666666666666664
