Frequency,Summed Intensity
-37.0519,-0.00017129300000000001
-37.047,-0.0001190311
-37.0421,0.0001475292
-37.0372,0.000325734393
-37.0323,0.0002620141
-37.0274,0.00018064600000000002
-37.0226,-9.639740000000002e-05
-37.0177,0.0002989558
-37.0128,0.0004346065
-37.0079,-0.00012138419999999999
-37.003,0.00026735089
-36.9981,-0.0007633321000000001
-36.9932,0.0002687936
-36.9883,-0.00019787960000000002
-36.9834,0.000187674
-36.9785,-0.0008101600000000001
-36.9736,0.0003314854
-36.9687,0.00011808509999999999
-36.9638,5.3246300000000006e-05
-36.959,-7.390979999999999e-05
-36.9541,3.6131300000000004e-05
-36.9492,0.0003886610000000001
-36.9443,0.00010331799999999999
-36.9394,-0.00023035119999999996
-36.9345,-8.703099999999968e-06
-36.9296,-0.00027453624
-36.9247,0.000380393
-36.9198,-0.0002117218
-36.9149,-0.000574538
-36.91,-0.0005322484000000001
-36.9051,-0.00010102309999999999
-36.9002,0.0005735133
-36.8953,-0.00022792419999999997
-36.8905,7.702430000000002e-05
-36.8856,-4.86362e-05
-36.8807,3.2559999999999905e-07
-36.8758,0.000244196
-36.8709,-0.0002120713
-36.866,0.0001583598
-36.8611,0.0001377552
-36.8562,-0.0003148686
-36.8513,0.000360357684
-36.8464,0.0001239166
-36.8415,9.754629999999997e-05
-36.8366,0.00011562589999999999
-36.8317,-0.0001733931
-36.8268,0.00018915662999999998
-36.822,2.1619850000000003e-05
-36.8171,0.0001296021
-36.8122,0.0007070085
-36.8073,0.00026053434
-36.8024,-0.00014305083999999999
-36.7975,5.7952200000000004e-05
-36.7926,-0.000600457
-36.7877,-0.0003286571
-36.7828,-0.0008244820000000001
-36.7779,-8.31536e-05
-36.773,-0.000159124
-36.7681,0.00015230499999999999
-36.7632,0.00039965140000000003
-36.7584,1.11812e-05
-36.7535,0.0002904335
-36.7486,-0.000480647
-36.7437,-1.4385100000000002e-05
-36.7388,-0.000257895
-36.7339,-0.0002989799
-36.729,0.00038707710000000003
-36.7241,0.0002169002
-36.7192,8.42946018e-05
-36.7143,0.00019965690000000002
-36.7094,9.433689999999997e-05
-36.7045,0.000480285
-36.6996,0.000213751
-36.6947,0.00021428000000000002
-36.6899,0.000178121
-36.685,-4.245776e-05
-36.6801,0.0003777294
-36.6752,-0.0005717634
-36.6703,0.00010089260000000001
-36.6654,-0.00030667279999999997
-36.6605,0.000107166
-36.6556,-0.0003500491
-36.6507,-0.0004940889
-36.6458,-0.0001573713
-36.6409,-0.0001186394
-36.636,0.0005030293
-36.6311,0.0005297839999999999
-36.6262,-9.02954e-05
-36.6213,7.65029999999999e-06
-36.6165,-0.00014487300000000003
-36.6116,5.0147999999999995e-05
-36.6067,0.00010815070000000001
-36.6018,-0.000317599
-36.5969,0.00033092099999999997
-36.592,-0.0001216854
-36.5871,0.00014254509999999998
-36.5822,-0.0003379677
-36.5773,0.0003866952
-36.5724,0.00017849059999999997
-36.5675,0.000199945
-36.5626,-9.481069999999999e-05
-36.5577,-2.8014200000000007e-05
-36.5529,-0.00044181229999999997
-36.548,0.0001189838
-36.5431,0.000945346
-36.5382,0.00032838572
-36.5333,-3.0177000000000003e-05
-36.5284,1.226050000000022e-06
-36.5235,0.0002253209
-36.5186,-0.00034045799999999997
-36.5137,0.00020977
-36.5088,-0.0002820759
-36.5039,0.0005931748
-36.499,0.0001233843
-36.4941,0.00012991549999999999
-36.4892,-0.00030614289999999995
-36.4844,-4.631459000000001e-05
-36.4795,-0.0003320115
-36.4746,0.0001430707
-36.4697,0.00012597649999999998
-36.4648,-0.0005131374
-36.4599,-0.00011532779999999998
-36.455,-0.0001901165
-36.4501,-0.0004919652
-36.4452,0.0001333506
-36.4403,-8.478500000000001e-05
-36.4354,0.0002756947
-36.4305,0.00020100839999999997
-36.4256,0.000624558
-36.4207,-0.00030626
-36.4159,0.0002463762
-36.411,-5.0214000000000004e-05
-36.4061,0.00031701660000000003
-36.4012,-0.0001783817
-36.3963,-0.0004716462
-36.3914,4.73506e-05
-36.3865,-0.00015068299999999998
-36.3816,-7.706290000000001e-05
-36.3767,-5.5516699999999997e-05
-36.3718,0.000107407
-36.3669,4.46467e-05
-36.362,-0.0005997408
-36.3571,0.0002137609
-36.3523,0.0001843458
-36.3474,0.0002582739
-36.3425,0.000334604
-36.3376,-0.0001562227
-36.3327,-4.01714e-05
-36.3278,-0.0003042477
-36.3229,7.500439999999999e-05
-36.318,0.00018131500000000004
-36.3131,0.0003038685
-36.3082,0.00037129048
-36.3033,-0.000541411
-36.2984,-0.0003172963
-36.2935,0.0001153863
-36.2886,-5.1887379999999986e-05
-36.2837,-0.0004813674
-36.2789,-9.941359999999999e-05
-36.274,-0.0002286473
-36.2691,0.00026534
-36.2642,0.0002690155
-36.2593,-0.00038423100000000007
-36.2544,2.2828399999999993e-05
-36.2495,6.58388e-05
-36.2446,0.0001757166
-36.2397,8.994710000000002e-05
-36.2348,-0.00031220810000000005
-36.2299,-1.7923130000000007e-05
-36.225,-0.0003101435
-36.2201,0.00026416586
-36.2153,0.00011340823899999999
-36.2104,0.00011945660000000002
-36.2055,0.0002206662
-36.2006,0.0005227325
-36.1957,-0.0002862788
-36.1908,-0.00024439247
-36.1859,3.6791000000000102e-06
-36.181,5.764480000000001e-05
-36.1761,7.867260000000002e-05
-36.1712,-0.0001857877
-36.1663,9.538800000000002e-05
-36.1614,-0.0002658728
-36.1565,-1.5724299999999994e-05
-36.1516,0.00012157766000000001
-36.1468,0.0002816009
-36.1419,-0.0003010873
-36.137,-8.990619999999996e-05
-36.1321,-8.8862e-05
-36.1272,0.000424378
-36.1223,-0.00011662710000000001
-36.1174,-0.00038256909999999996
-36.1125,6.484780000000001e-05
-36.1076,0.000542337
-36.1027,8.960289999999998e-05
-36.0978,-0.000430235
-36.0929,0.0003325022
-36.088,-0.00047837349999999994
-36.0831,-0.0001780647
-36.0783,-0.00030681700000000003
-36.0734,-8.44786e-05
-36.0685,0.00028240785
-36.0636,-0.0003046482
-36.0587,-0.0003885829
-36.0538,-6.639537e-05
-36.0489,-0.000690351
-36.044,-0.000360298
-36.0391,1.4022000000000009e-05
-36.0342,3.9358000000000025e-05
-36.0293,-0.00040774641
-36.0244,0.000175356
-36.0195,-9.410140000000001e-05
-36.0147,0.0003744495
-36.0098,0.00044353970000000003
-36.0049,0.00021723469999999998
-36.0,-7.39716e-05
-35.9951,6.547479999999999e-05
-35.9902,-0.000363404
-35.9853,4.5586399999999994e-05
-35.9804,-0.0003924785
-35.9755,-0.00022007959999999997
-35.9706,-0.0004308768
-35.9657,0.0006027886
-35.9608,0.00015432399999999998
-35.9559,-0.00041793010000000004
-35.951,-0.0001748158
-35.9461,-0.00024940500000000007
-35.9413,-0.0003697285
-35.9364,0.0001508974
-35.9315,0.00025422870000000003
-35.9266,-0.00085312
-35.9217,-0.00013559799999999998
-35.9168,4.787799999999988e-06
-35.9119,-6.80779e-05
-35.907,0.00028784169999999997
-35.9021,2.9775999999999967e-06
-35.8972,-0.0002065718
-35.8923,-0.000235527
-35.8874,0.000502731
-35.8825,-0.00025616155
-35.8777,0.00017550330000000002
-35.8728,-0.00010957669999999998
-35.8679,0.00024532600000000003
-35.863,-0.0002023612
-35.8581,-8.553677e-05
-35.8532,-0.0008147546
-35.8483,-0.000574233
-35.8434,0.0001992
-35.8385,0.00043829130000000004
-35.8336,0.0004212775
-35.8287,-0.00041669540000000005
-35.8238,6.214939999999999e-05
-35.8189,-9.133604e-05
-35.814,-0.0004862973
-35.8092,0.0002940073
-35.8043,0.000245739
-35.7994,-0.0003321362
-35.7945,-0.0004267877
-35.7896,1.637060000000001e-05
-35.7847,-6.1153e-05
-35.7798,-0.00010996440000000002
-35.7749,-0.00048269000000000003
-35.77,8.1369e-05
-35.7651,6.296420000000002e-05
-35.7602,0.00028132669999999995
-35.7553,0.000153853
-35.7504,0.00023886899999999998
-35.7455,-0.00039225050000000003
-35.7407,-2.2188309999999993e-05
-35.7358,-4.265390000000001e-05
-35.7309,-0.0005005196
-35.726,0.0004394094
-35.7211,7.958720000000001e-05
-35.7162,0.000288808
-35.7113,-0.0006413437
-35.7064,2.657560000000001e-05
-35.7015,-0.0003670269
-35.6966,0.0003827387
-35.6917,0.000377237
-35.6868,-9.859300000000001e-05
-35.6819,5.094399999999949e-07
-35.6771,3.803933000000001e-05
-35.6722,0.0003039015
-35.6673,-8.64129e-05
-35.6624,0.00016085999999999997
-35.6575,0.00021962365
-35.6526,-0.00028971
-35.6477,-0.0001790361
-35.6428,-0.0002728105
-35.6379,0.000309141
-35.633,-4.12808e-05
-35.6281,-3.3082999999999995e-05
-35.6232,-0.0001472792
-35.6183,-0.0003255269
-35.6134,-7.88997e-05
-35.6085,-0.000666879
-35.6037,0.0001925598
-35.5988,-0.0001012803
-35.5939,-0.000938216
-35.589,0.000327874
-35.5841,-7.653899999999998e-06
-35.5792,0.0003751806
-35.5743,8.456329000000002e-05
-35.5694,-0.0003958033
-35.5645,-0.0001460825
-35.5596,2.9493099999999997e-05
-35.5547,0.000113201
-35.5498,0.0002008426
-35.5449,-6.382000000000002e-05
-35.5401,0.0002259969
-35.5352,-0.0007027506
-35.5303,-7.70372e-05
-35.5254,0.000458052
-35.5205,-5.517590000000001e-05
-35.5156,-0.0001705878
-35.5107,-0.000809061
-35.5058,0.0004744441
-35.5009,-6.45295e-05
-35.496,1.7692999999999995e-05
-35.4911,6.73645e-05
-35.4862,-0.0004386175
-35.4813,0.0002347933
-35.4764,8.5997e-05
-35.4716,-0.00036092419
-35.4667,0.0009451450000000001
-35.4618,-0.0006057767
-35.4569,0.0003066766
-35.452,-0.000199588
-35.4471,4.124700000000066e-06
-35.4422,0.00011600150000000001
-35.4373,0.00047894066
-35.4324,-5.781700000000002e-05
-35.4275,-0.00022692379999999997
-35.4226,-2.244150000000006e-05
-35.4177,-0.00039485919999999997
-35.4128,7.2304e-05
-35.4079,-0.0001558931
-35.4031,-6.17127e-05
-35.3982,9.407410000000001e-05
-35.3933,-0.000118248
-35.3884,-0.0003154333
-35.3835,-0.00011965540000000002
-35.3786,0.00021260339999999998
-35.3737,-0.00022182340000000004
-35.3688,-0.0002803724
-35.3639,-0.00010418119999999998
-35.359,0.000407225
-35.3541,-0.0001742479
-35.3492,0.0007351706
-35.3443,-0.0006312399999999999
-35.3395,-0.0001192334
-35.3346,0.00030452340000000004
-35.3297,0.00040798600000000005
-35.3248,-0.0002640531
-35.3199,-0.00021724900000000006
-35.315,-3.69559e-05
-35.3101,1.609799999999998e-05
-35.3052,5.28111e-05
-35.3003,-0.0003269016
-35.2954,-0.000577323
-35.2905,-0.0002073904
-35.2856,-0.000987489
-35.2807,0.00046256439999999997
-35.2758,5.706079999999999e-05
-35.2709,6.65019e-05
-35.2661,-0.00011150709999999998
-35.2612,-0.000468419
-35.2563,-0.0002279616
-35.2514,-0.000120848
-35.2465,0.0005348922
-35.2416,-0.0004409310000000001
-35.2367,0.0002525696
-35.2318,3.859800000000001e-05
-35.2269,6.749770000000002e-05
-35.222,0.00047597670000000005
-35.2171,0.0003788738
-35.2122,-0.000172976
-35.2073,5.6274000000000024e-05
-35.2024,0.0001106
-35.1976,0.0003086082
-35.1927,6.59963e-05
-35.1878,5.948559999999999e-05
-35.1829,-0.0005779057999999999
-35.178,0.000560789
-35.1731,-0.00021537629
-35.1682,-0.0003793172
-35.1633,-8.99045e-05
-35.1584,-0.0006290592
-35.1535,0.000416215
-35.1486,-0.0004088655
-35.1437,0.000771812
-35.1388,0.00044229370000000004
-35.134,-0.00014108840000000002
