Frequency,Summed Intensity
-564.463,-0.002582744648590889
-564.424,0.0025199409689370973
-564.385,0.003763583715600467
-564.346,0.002397505053972979
-564.307,-0.010456413932751586
-564.268,-0.0133629375900521
-564.229,-0.003028362587757371
-564.19,0.005998663037987401
-564.152,0.009381662603161848
-564.113,0.009228101518358758
-564.074,-0.014379626829720786
-564.035,-0.01876924952769034
-563.996,-0.010809515332461361
-563.957,-0.014685407641263
-563.918,0.0016006403286572886
-563.879,-0.01113415714678388
-563.84,-0.005478128651778989
-563.801,0.006409721730949657
-563.762,0.0020158222762261054
-563.724,0.0006177841840325183
-563.685,-0.014109557395505717
-563.646,-0.010373227326777895
-563.607,-0.0065612194952546065
-563.568,-0.007966968151664613
-563.529,0.003655249547675809
-563.49,0.020467284068782923
-563.451,0.001834920307500136
-563.412,0.0063067256600389
-563.373,-0.0023873759744341694
-563.334,0.005176798318774597
-563.296,-6.266772654276447e-05
-563.257,0.0027192983344214053
-563.218,-0.027697834469078333
-563.179,-0.0027933165264809397
-563.14,0.007876301528460243
-563.101,0.01569673368387234
-563.062,0.0071577931293277134
-563.023,-0.010801554778959178
-562.984,0.0020472347202075973
-562.945,-0.01363196198393191
-562.906,-0.01227359702055576
-562.867,0.003926757155399644
-562.829,-0.011262511477145597
-562.79,0.007505797872285176
-562.751,0.013194586945441442
-562.712,0.003283340697665419
-562.673,-0.0026381097617354
-562.634,-0.014567539950808152
-562.595,-0.005773815148317319
-562.556,0.001763789940131565
-562.517,-0.002305569398110274
-562.478,-0.017293991973165744
-562.439,-0.007769969925693182
-562.401,0.008426024465287308
-562.362,0.01339952932047346
-562.323,0.010256028850401265
-562.284,-0.005685417033536124
-562.245,0.008580811402121519
-562.206,-0.00771862250895037
-562.167,-0.0005174119833103214
-562.128,0.003421683836904061
-562.089,-0.007506929938056678
-562.05,0.00787601025183393
-562.011,0.023472110165735
-561.972,0.007968970272741448
-561.934,-0.013785158872754248
-561.895,-0.002720311170512628
-561.856,0.018334468817933925
-561.817,-0.012255310123777527
-561.778,-0.013444726590528169
-561.739,0.0042471037029556055
-561.7,-0.0016346078140514425
-561.661,0.004876401301910663
-561.622,0.013232183739049629
-561.583,-0.008929591072584323
-561.544,0.006435386928478443
-561.506,0.014836471107670078
-561.467,-0.00044844593578363077
-561.428,-0.025482226695623715
-561.389,0.011133442774472558
-561.35,0.010741836104483498
-561.311,0.013007438933722927
-561.272,0.020016466194588117
-561.233,0.020675639000322894
-561.194,0.0001401068834549465
-561.155,0.0018989340869963421
-561.116,-0.001635909835044412
-561.078,-0.00875486823709337
-561.039,-0.005534129814012204
-561.0,-0.010582498688931564
-560.961,0.004925595672760668
-560.922,0.005843804016294874
-560.883,0.017046251988675706
-560.844,0.006790142240451311
-560.805,0.01695799180097917
-560.766,-0.008009025327716662
-560.727,0.011748078516504758
-560.688,-0.0098978584275362
-560.649,0.0008181093284524866
-560.611,0.007970211665220783
-560.572,-0.005873606932420374
-560.533,0.003118552144163128
-560.494,-0.0055645767317201176
-560.455,0.01573382175810153
-560.416,-0.011032271636383461
-560.377,-0.0010165916257367633
-560.338,-0.013420052468648129
-560.299,-0.01866787022978538
-560.26,0.009762323515114094
-560.221,0.0015313178190551567
-560.183,0.007743647275926123
-560.144,0.012583370456631333
-560.105,-0.004552338990730413
-560.066,-0.0032491458443159684
-560.027,-0.021578376267445645
-559.988,-0.018430525151731502
-559.949,-0.01078590637587803
-559.91,0.01532698989743778
-559.871,-0.013417398551162663
-559.832,0.018011705387885824
-559.793,-0.0023072555107492604
-559.755,-0.007720541354368736
-559.716,-0.008576342205465303
-559.677,-0.0198436974871588
-559.638,0.002862308029404283
-559.599,0.005146759579734992
-559.56,-0.009006663216880805
-559.521,0.01356423460999189
-559.482,0.005193640210358605
-559.443,0.010154011693965055
-559.404,-0.0011078509489684586
-559.365,0.0007629934349533184
-559.326,0.0041971689637408565
-559.288,0.012857639343033972
-559.249,0.007900591932567898
-559.21,-0.012437659148038172
-559.171,0.0014756007694815415
-559.132,-0.012619359211572789
-559.093,-0.008016386304511696
-559.054,0.0018848495303668532
-559.015,0.008904047331732902
-558.976,0.010585209549014917
-558.937,-0.001603596934666987
-558.898,0.003609689725150328
-558.859,-0.000548656570118974
-558.821,-0.01156448432349858
-558.782,-0.0026854215702169417
-558.743,0.032928374104110814
-558.704,-0.011728584717177101
-558.665,0.008761581406907306
-558.626,-0.003653576941365617
-558.587,0.013221385415492459
-558.548,-3.726202020591458e-05
-558.509,0.019638097936775043
-558.47,0.0020455930014532386
-558.431,0.022781366703653404
-558.393,0.008474925612647915
-558.354,-0.010421315965648536
-558.315,-0.008337497490588647
-558.276,0.009439044011858931
-558.237,-0.020495907952815726
-558.198,0.00017795517050922156
-558.159,-0.0021268377676933858
-558.12,0.000661367583622769
-558.081,0.007318239486860643
-558.042,-0.0032774924817899806
-558.003,0.003939628102850099
-557.965,0.007817010607200692
-557.926,-0.0037337056024880563
-557.887,0.0060756600711907895
-557.848,0.00330302052853106
-557.809,-0.0010398561199784467
-557.77,-0.0019297484337893467
-557.731,0.008999068859512979
-557.692,0.009703451867873261
-557.653,-0.0007320958309906594
-557.614,0.0017517160180011034
-557.575,0.01753835415999028
-557.536,0.002777733050310014
-557.498,0.0038478598468178315
-557.459,0.002585509876621625
-557.42,0.0031575385705405455
-557.381,-0.00708923226278751
-557.342,-0.0044020466925156635
-557.303,0.014832340403042224
-557.264,-0.004004433451812243
-557.225,0.010087097508981646
-557.186,0.009962687427738611
-557.147,-0.005301142268132618
-557.108,-0.022473954105535803
-557.07,-0.011881145916402712
-557.031,0.013332029006146596
-556.992,0.020507233781211002
-556.953,-0.011846825847309629
-556.914,0.0030980909604426373
-556.875,0.0019329388293374725
-556.836,0.00755418196502682
-556.797,0.010521793970691367
-556.758,0.005487752511604549
-556.719,0.014364550951500209
-556.68,0.0015438930444939976
-556.641,-0.008222603128973664
-556.603,-0.01342110710893768
-556.564,-0.016538846368367208
-556.525,-0.014156286026367123
-556.486,0.003502032316434056
-556.447,-0.007878870038822771
-556.408,-0.00947078603072984
-556.369,-0.0011216204917867305
-556.33,-0.002787609132803865
-556.291,0.00054019124579823
-556.252,-0.012803569061944816
-556.213,-0.0032043716080788214
-556.175,0.0021073498785116776
-556.136,0.014252295305413552
-556.097,0.01566319279191271
-556.058,-0.0015770500160614408
-556.019,-0.022163158353377264
-555.98,0.006853700957231229
-555.941,-0.003117342062708713
-555.902,-0.00860532477740255
-555.863,-0.005295679600962727
-555.824,0.010805047593534881
-555.785,-0.003096104907555485
-555.747,0.0013990288509590342
-555.708,0.0065047309835792825
-555.669,-0.0008497105016949508
-555.63,0.013457589518999028
-555.591,-0.00927182247465965
-555.552,0.016483076923054597
-555.513,0.012398900780570375
-555.474,0.009662888353299346
-555.435,-0.008957610578229235
-555.396,-0.009785143457847333
-555.357,-0.0010727629788723435
-555.318,0.007569588880825861
-555.28,-0.010546424631064463
-555.241,-0.00913446075526448
-555.202,0.006388831854795954
-555.163,0.008230337307403256
-555.124,0.022840255100535004
-555.085,-0.022272691383831537
-555.046,-0.009071845106777153
-555.007,0.0018337301596628576
-554.968,-0.017585302150050063
-554.929,0.010120748732771108
-554.89,0.005567355496623185
-554.852,0.007287161198836357
-554.813,0.0022833014447601013
-554.774,0.008115939289480244
-554.735,-0.005903555367191209
-554.696,0.009010551274505226
-554.657,-0.012259256519231456
-554.618,0.0189250406575438
-554.579,-0.006881482973650359
-554.54,-0.0028550136039695046
-554.501,-0.0083209102076543
-554.462,-0.020203933938013775
-554.424,0.007794362159904816
-554.385,-0.0014736123514579637
-554.346,0.004221041437055493
-554.307,0.008032683574798603
-554.268,0.004896971094408743
-554.229,-0.005404320251193399
-554.19,-0.001842158686144261
-554.151,-8.731693782748981e-05
-554.112,0.0032900923463047567
-554.073,-0.006598263081764837
-554.034,0.008305851560213937
-553.995,0.0056885391576952235
-553.957,-0.007947145975835705
-553.918,0.004581945204517995
-553.879,0.0011604727760260215
-553.84,-0.008809390638572537
-553.801,0.0023768997860666927
-553.762,0.00694667603981952
-553.723,0.00422448096415973
-553.684,0.010691823274693172
-553.645,0.02588386099471508
-553.606,-0.00501009818085736
-553.567,-0.016119143058390347
-553.529,-0.014252039042553446
-553.49,0.00743961210638081
-553.451,-0.012763028331239164
-553.412,-0.025236718003547463
-553.373,0.006353894792069492
-553.334,0.0016972011671184067
-553.295,-0.005328048122314108
-553.256,0.0013281505107801132
-553.217,0.010204173244395846
-553.178,0.0012306000562749475
-553.139,0.0067373919148199695
-553.1,0.004065199069191907
-553.062,-0.009001082571394977
-553.023,-0.0009405674740474909
-552.984,-0.017612827417392594
-552.945,0.015213953858288791
-552.906,-0.005413514899597686
-552.867,0.01680347200813269
-552.828,0.000397100389532867
-552.789,0.014637462469118553
-552.75,0.017992533930823514
-552.711,0.006345506819518045
-552.672,0.00289861767330729
-552.634,-0.013197999595449265
-552.595,0.005707309293110064
-552.556,-0.0005198430026661119
-552.517,-0.002802589063068262
-552.478,0.007130723201241583
-552.439,-0.013142124453336698
-552.4,-0.0005489902554196502
-552.361,0.016120812861680014
-552.322,-0.018217371121296552
-552.283,-0.006138968525499702
-552.244,-0.0015554744266416726
-552.206,0.013201288639399315
-552.167,0.012914879697814245
-552.128,-0.0006941503378076
-552.089,0.0013634231473906844
-552.05,0.0021009781497184033
-552.011,0.0048540205047123055
-551.972,-0.004766474455290181
-551.933,-0.002193525124894691
-551.894,0.004261971679545533
-551.855,-0.007244291335732236
-551.816,0.002863041115342429
-551.777,0.007195587180068231
-551.739,-0.017746879875742052
-551.7,-0.0035280315960113454
-551.661,-0.0016102290598886888
-551.622,0.012019072886913932
-551.583,-0.005215128407712429
-551.544,-0.0012126850960865534
-551.505,-0.003227127463094484
-551.466,-0.007768204244722518
-551.427,-0.011870584296186305
-551.388,0.025135338122277893
-551.349,-0.008774736817268123
-551.31,0.005909765247108407
-551.272,-0.01735944188621768
-551.233,0.0036956667307312817
-551.194,-0.004818288648960713
-551.155,0.01053133689710735
-551.116,0.01647560008237701
-551.077,0.004477200678106871
-551.038,-0.011669610773534386
-550.999,0.02017833273162591
-550.96,-0.0025155181835408067
-550.921,0.011470755635764537
-550.882,-0.0020841051004541044
-550.844,-0.012149633531501192
-550.805,-0.009883169913121837
-550.766,0.012664302749274055
-550.727,-0.008774671753570445
-550.688,0.00045218020127440117
-550.649,0.005620876473548305
-550.61,-0.0046087952531663695
-550.571,-0.012637234396804283
-550.532,-0.015697228548035232
-550.493,-0.005242664502130502
-550.454,0.009191473268644786
