Length,Max,Min
132, 11.00, 2.67
132, 11.00, 2.83
132, 11.00, 1.50
132, 10.83, 2.17
132, 11.00, 2.83
140, 11.00, 1.67
140, 11.00, 2.17
140, 11.00, 1.83
140, 11.00, 2.33
140, 11.00, 1.57
150, 11.00, 1.40
150, 11.00, 1.33
150, 10.17, 1.67
150, 11.00, 1.83
150, 11.00, 3.00
160, 10.83, 2.17
160, 11.00, 2.17
160, 11.00, 2.17
160, 11.00, 4.83
160, 11.00, 1.67
170, 11.00, 5.53
170, 10.17, 6.50
170, 11.00, 2.17
170, 11.00, 3.00
170, 11.00, 4.67
