Length,Max,Min
113, 9.0, 7.6
113, 8.9, 8.0
113, 9.9, 7.0
113, 8.7, 8.17
113, 10.2, 6.5
130, 11.0, 2.7
130, 11.0, 2.0
130, 11.0, 4.8
130, 11.0, 4.3
130, 11.0, 3.0
153, 11.0, 2.0
153, 11.0, 1.5
153, 11.0, 4.0
153, 11.0, 1.8
160, 11.0, 4.0
160, 10.7, 6.0
160, 11.0, 5.5
160, 9.0, 7.5
160, 9.0, 7.0
170, 8.7, 8.0
170, 11.0, 4.5
170, 11.0, 4.2
170, 9.5, 7.0
170, 9.3, 7.5
