Frequency,Summed Intensity
-564.463,0.0046444334027926784
-564.424,0.016052576263619504
-564.385,0.017561922896242668
-564.346,-0.01051716124424267
-564.307,0.010893022510017229
-564.268,-0.001464293187453915
-564.229,-0.00035525136949559466
-564.19,0.007942272291199252
-564.152,-0.0005875307379821534
-564.113,-0.004043753843568629
-564.074,-0.005072703971188348
-564.035,0.018548217672699402
-563.996,-0.014727624956512074
-563.957,0.005780350968601835
-563.918,0.0038527009892519674
-563.879,-0.003428453753719099
-563.84,0.002773835400467139
-563.801,0.009259350553613162
-563.762,0.006728112237908614
-563.724,0.00226440536771422
-563.685,0.009605990510586363
-563.646,-0.011261080888101932
-563.607,-0.0011757817898032468
-563.568,0.002502926333841672
-563.529,0.0007734612596210477
-563.49,0.011193786819174734
-563.451,0.01872565118512308
-563.412,0.002404736681779698
-563.373,-0.001359522401994352
-563.334,0.015840584608519094
-563.296,0.009284263646268328
-563.257,-0.003411818713655796
-563.218,0.017305259448653208
-563.179,0.015838461650230184
-563.14,-0.007633198219287803
-563.101,-0.005521451817462195
-563.062,-0.007630167648300614
-563.023,0.008831639362599984
-562.984,-0.003135416819215462
-562.945,-0.004691293622566191
-562.906,-0.005992456258257582
-562.867,-0.007186625007493026
-562.829,0.004897449049618606
-562.79,0.00814118081636238
-562.751,-0.011743783455311116
-562.712,0.006081233555837084
-562.673,0.00019083377094518067
-562.634,-0.01198388646402236
-562.595,0.0063596626961247935
-562.556,0.007791552706778064
-562.517,-0.0025488004947528185
-562.478,-0.005632407982399923
-562.439,0.007893734675646608
-562.401,0.02052260453676742
-562.362,-0.004186615517928389
-562.323,-0.01585147085487243
-562.284,0.01405203208909997
-562.245,0.009479321845213193
-562.206,-0.022100375715304776
-562.167,-0.004246723086959804
-562.128,-0.002457380967893725
-562.089,-0.013884569756100572
-562.05,-0.006145589666100349
-562.011,0.002235542713693627
-561.972,0.006356945211354975
-561.934,0.006575033665838649
-561.895,-0.005585107839427504
-561.856,0.0037603410495681815
-561.817,0.0071375747727306415
-561.778,-0.00299881336793125
-561.739,0.015218748378424888
-561.7,-0.0036122038663469413
-561.661,-0.004239089443323858
