Time (s),H Real,H Imag,C Real,C Imag,Frequency (Hz),H Magnitude,C Magnitude
0.0,-6.865329598753631,14.300405324532626,-0.4699221623848092,3.7013908102659845,-325.94932345220167,16.688434246000647,39.75008806288854
0.0002442002442002442,-11.564052556397295,9.627010140091295,0.8094510609344965,-3.780215687791217,-325.7901685091098,21.35767979303328,36.88497946653287
0.0004884004884004884,-13.738118887484912,3.850575660288905,-1.1704088556762546,3.142632041805992,-325.6310135660179,6.888999974523849,39.36154267332286
0.0007326007326007326,-12.349883356926417,-2.490731937136293,1.2175238033923481,-2.8723649294896085,-325.471858622926,10.231205631969301,33.12476893092408
0.0009768009768009768,-8.669550565391829,-6.456492018460057,-1.6155714810016837,2.161304265166377,-325.3127036798341,11.049206877580351,42.1357016288728
0.001221001221001221,-4.106462952516896,-7.707909392691635,1.2843670307621087,-1.5762982039118028,-325.1535487367422,19.18166993765898,42.92669076804709
0.0014652014652014652,-0.318373550010952,-6.4956466352253335,-0.8835451967787387,1.3186171465392396,-324.99439379365026,15.603321939156503,35.600523754667215
0.0017094017094017094,1.5974570774167873,-3.5483033340192947,0.6734969202566392,-0.4968687400741606,-324.83523885055837,5.435520486918499,44.96479551608085
0.0019536019536019536,0.8324643485478702,-0.9872079816767716,-0.48215391471479246,0.08458045113597329,-324.6760839074665,16.524737065014097,26.848423989909694
0.002197802197802198,-1.1179753163353325,0.3135202213184345,-0.3193622937653154,0.23342173810554634,-324.5169289643746,14.214106704464923,12.747978411805752
0.002442002442002442,-3.654898097158711,-0.3787406121942325,0.775325588012827,-0.5203809621279581,-324.3577740212827,24.35580483002779,32.399807210257045
0.002686202686202686,-5.297784916358443,-3.506536802023637,-1.556214337082392,0.3692956590180563,-324.1986190781908,13.930505444675651,33.892935668893074
0.0029304029304029304,-4.64876153777644,-7.309758481107583,2.178006377226575,-0.24063074834128703,-324.0394641350989,10.509300917094137,24.520677267576804
0.0031746031746031746,-1.1638888066513104,-10.705818908520474,-2.5607565873258578,-0.01452050884275169,-323.880309192007,8.592035156585684,27.846867852119026
0.003418803418803419,4.192935101694681,-11.7926250523507,3.11233885739517,0.2676435209452405,-323.7211542489151,17.28744623717321,19.42157005481134
0.003663003663003663,9.768109026158275,-9.825430893662272,-3.5385597319991593,-0.6419832375495632,-323.56199930582324,14.98768617618434,29.3801704998054
0.003907203907203907,14.148444500998115,-5.1334930519616515,3.5778684466140613,1.2200614037460669,-323.40284436273134,11.544371045348147,25.183647521641543
0.004151404151404151,15.599670185938031,1.5886371640536203,-3.6026023390525967,-1.7179265795512513,-323.24368941963945,5.529867986080224,27.910469568457206
0.004395604395604396,13.518482073680719,8.250582444722939,3.536343189820629,2.118634354961495,-323.08453447654756,13.654915004882564,30.24381050507286
0.00463980463980464,8.652778246011923,13.176749987775311,-3.195337091034212,-2.1769839977987853,-322.92537953345567,5.899576688670031,22.09747617974355
0.004884004884004884,2.306510473266868,14.77499497316295,2.8631487081611127,2.737912024015432,-322.7662245903638,5.904669648452132,22.860915872719133
0.005128205128205128,-4.175298912886313,13.386420045714004,-2.300078703253379,-2.6078210392749304,-322.6070696472719,20.877443072034147,14.323805268429954
0.005372405372405372,-8.422675977496334,9.38189977915816,1.696644920928236,2.7950623857404904,-322.44791470417994,24.30526557065434,16.21930173314751
0.005616605616605617,-10.051369964886094,4.2110993990162635,-1.164308622173181,-2.732211533070841,-322.28875976108804,15.469461237859555,14.836798354018798
0.005860805860805861,-8.77716313365754,-0.4891647437519067,0.7661410572899864,2.061618480092111,-322.12960481799615,18.651276141201667,19.337431733935283
0.006105006105006105,-5.8413235969472765,-3.1441455663522215,-0.5751376592792166,-1.702508393913705,-321.97044987490426,3.9180724200328756,19.15473837922655
0.006349206349206349,-2.4772654922908566,-3.1797280302863626,0.1886520597295053,1.037006567284394,-321.81129493181237,4.921414472745751,23.655902882868435
0.006593406593406593,-0.3969639751022844,-1.4534580419782075,0.013356348607475109,-0.49543636071679087,-321.6521399887205,19.508788991232787,7.583967160302858
0.006837606837606838,-0.2211830286855019,1.3012188830527855,-0.14829518241286427,-0.27992579336532386,-321.4929850456286,14.696775680144562,10.260175441075999
0.007081807081807082,-2.2265811029244666,2.8224771051248685,-0.06044823132645584,0.9237621258059425,-321.3338301025367,11.00807883947991,12.892211216254559
0.007326007326007326,-5.628143960799357,2.6208320295987058,0.4067236671309307,-1.6116215213185663,-321.1746751594448,14.554830828165592,19.7567530713602
0.00757020757020757,-8.457038367815619,-0.03252131768862033,-0.6468216662783901,1.9036928215987048,-321.0155202163529,6.626533510650713,19.484561970900643
0.007814407814407814,-9.544030716881764,-4.481687822470208,1.2168185719203337,-2.3387990439977,-320.856365273261,6.926899149866527,15.196130181103745
0.008058608058608058,-8.03393819683377,-9.454194649253672,-1.8054626500712723,2.5977301417209544,-320.6972103301691,5.3139393611018475,12.977929786433554
0.008302808302808303,-3.322854604146107,-13.39383345296194,2.1250326515579134,-2.496182582598697,-320.53805538707724,13.31202323327546,20.82098972704575
0.008547008547008548,2.7789301924873784,-14.703099895510444,-2.7495588605940577,2.4861901164785882,-320.37890044398534,12.142747717594457,24.416350503045276
0.008791208791208791,9.391594871254345,-12.431563571726342,3.186755337023572,-2.3472790364555944,-320.21974550089345,16.49246418944939,18.78202749661538
0.009035409035409035,13.832272568418396,-7.453443834935736,-3.4445234514712917,2.1010597031020106,-320.06059055780156,15.606425315561353,8.108146773237927
0.00927960927960928,15.517480629575878,-0.7376268554073659,3.446692456848908,-1.528602648387987,-319.9014356147096,16.397093558649953,19.70233714067609
0.009523809523809525,13.701657601945202,5.805775974723252,-3.6126553427954735,0.953915602071179,-319.7422806716177,14.529352149015883,12.696573864330313
0.009768009768009768,9.610236953063795,10.474647536404158,3.48561561835475,-0.7242119955882454,-319.58312572852583,12.537180454314138,14.03968967749043
0.010012210012210011,3.728677083584601,12.15501982830149,-3.277026901723179,0.18450504223833147,-319.42397078543394,14.471024338478799,12.213403755405507
0.010256410256410256,-1.6367497925891883,10.794524532344795,2.811007998654127,0.12195196347414802,-319.26481584234205,9.535309082449821,10.561511780383036
0.010500610500610501,-5.043344344844776,7.389379209827225,-2.2194335828877363,-0.37646732823220097,-319.10566089925015,20.53660478115975,16.95998213826264
0.010744810744810745,-5.661301655296159,3.5337500707507443,1.7066389068169836,0.43146832738123564,-318.94650595615826,12.430505366943535,6.858095866190022
0.010989010989010988,-4.047547779294054,0.4500210323069187,-1.078128791770432,-0.4974900782981251,-318.78735101306637,12.402643162630458,11.547917077027853
0.011233211233211233,-1.5284824283262515,-0.3522491908463033,0.3777265750450359,0.11291061907237254,-318.6281960699745,5.04229920009457,5.758890816581519
0.011477411477411478,0.5607292454737123,0.6993684249741735,0.04256886996639295,0.15464212248948014,-318.4690411268826,13.789377382415843,1.5781008558478942
0.011721611721611722,1.0372133832510155,3.3551035882113904,-0.5340361739604746,-0.7334150007197862,-318.3098861837907,18.222482730336466,14.854707911224269
0.011965811965811965,-0.6215668584189615,5.87469409470963,1.0605950145865408,1.1174730269151858,-318.1507312406988,7.901029886332949,13.54633136976534
0.01221001221001221,-4.294818742958984,7.2336704410984884,-1.294646015518696,-1.7566433745342633,-317.9915762976069,19.1012125975936,5.749841950138401
0.012454212454212455,-8.666382468137085,5.832403924058446,1.4300554503934828,2.2336179323325296,-317.832421354515,13.533090659050028,14.44479115788869
0.012698412698412698,-12.21835971264749,1.880213293252301,-1.3613941424500648,-2.6875983613670114,-317.6732664114231,11.081572388613958,15.167115792968524
0.012942612942612942,-13.050560291069859,-3.8765739046863357,0.9725264061345917,3.2635469376839477,-317.5141114683312,11.85814600617955,12.346072819396944
0.013186813186813187,-10.873495965202052,-9.971041020350732,-0.7455905842121215,-3.683204310234194,-317.3549565252393,12.254038706342216,3.087102705892439
0.013431013431013432,-5.885497882462319,-14.43909883538483,0.36787556024310997,3.768671654607996,-317.1958015821474,2.7846374963882563,13.107217425349317
0.013675213675213675,0.8591702814453452,-15.77647148444778,0.19706218661384772,-3.8536612774197225,-317.0366466390555,13.410696405888539,15.837790569726128
0.013919413919413919,7.5291528983640905,-13.741813660281526,-0.6547565336207022,4.062383576467978,-316.8774916959636,20.953455468765952,10.613779668898058
0.014163614163614164,12.036473644100717,-9.001012765498697,0.805182923423335,-3.5864360686481076,-316.7183367528717,16.60739747142533,14.001416237300445
0.014407814407814409,13.846858822522876,-2.692396952459693,-1.3056548475693963,3.220818178647202,-316.55918180977983,17.716865885770293,6.2126117819704465
0.014652014652014652,12.453836119371175,3.0749526063235018,1.2724881410522733,-2.903601702325661,-316.40002686668794,12.13047324267298,3.0722124524451937
0.014896214896214895,8.486254859062647,6.920853624218181,-1.6884144671956252,2.215605828560858,-316.24087192359605,4.169363642363469,4.887082024322047
0.01514041514041514,3.9960822749870943,8.090482126438518,1.468433882184919,-1.7075650821443007,-316.08171698050415,9.920061419085958,16.145231366819953
0.015384615384615385,0.06596172644871505,6.646828264978629,-1.2500761021644293,1.1748046350461134,-315.92256203741226,10.496099816412409,2.6627003017185316
0.01562881562881563,-1.8032540026971307,3.688384612750634,0.7510057673779581,-0.6302143747158135,-315.76340709432037,13.369312077672936,6.8420542405694995
0.015873015873015872,-1.2277344003391883,1.1732993679767543,-0.2855257978266219,0.3137164925756827,-315.6042521512285,15.862688240125234,5.225657376821926
0.016117216117216115,0.67030023436021,-0.16316513604311664,-0.11431103589627742,0.1283199295902577,-315.4450972081366,14.591167243530316,7.170269307217012
