0,6.75522,0.702379
0.5,6.61428,0.676095
1,6.56367,0.659629
1.5,6.57418,0.701883
2,6.58376,0.685204
2.5,6.57122,0.700541
3,6.57295,0.69956
3.5,6.55109,0.652194
4,6.54745,0.663125
4.5,6.53287,0.670412
5,6.51101,0.663125
5.5,6.5438,0.684986
6,6.50008,0.648551
6.5,6.47822,0.666768
7,6.50373,0.69956
7.5,6.46365,0.666768
8,6.45272,0.655838
8.5,6.42721,0.659481
9,6.44907,0.655838
9.5,6.44907,0.663125
10,6.37256,0.648551
10.5,6.36527,0.644907
11,6.37256,0.652194
11.5,6.33977,0.630333
12,6.30697,0.601185
12.5,6.30333,0.604828
13,6.27054,0.63762
13.5,6.26325,0.612115
14,6.24868,0.608472
14.5,6.22317,0.619402
15,6.2341,0.612115
15.5,6.21589,0.608472
16,6.17581,0.626689
16.5,6.14301,0.63762
17,6.1248,0.593898
17.5,6.09929,0.582967
18,6.092,0.601185
18.5,6.07743,0.630333
19,6.03735,0.633977
19.5,6.02278,0.633977
20,6.02642,0.604828
20.5,5.96448,0.623046
21,5.95355,0.601185
21.5,5.95355,0.608472
22,5.90983,0.641264
22.5,5.88797,0.615759
23,5.87339,0.593898
23.5,5.86246,0.623046
24,5.84424,0.655838
24.5,5.81874,0.619402
25,5.77866,0.619402
25.5,5.76044,0.659481
26,5.72765,0.626689
26.5,5.673,0.623046
27,5.65842,0.630333
27.5,5.67664,0.626689
28,5.66571,0.626689
28.5,5.62199,0.623046
29,5.59284,0.633977
29.5,5.58555,0.659481
30,5.58191,0.644907
30.5,5.58191,0.633977
31,5.51632,0.633977
31.5,5.47989,0.670412
32,5.45803,0.63762
32.5,5.46167,0.655838
33,5.42888,0.674056
33.5,5.41431,0.63762
34,5.39244,0.648551
34.5,5.36694,0.644907
35,5.37423,0.633977
35.5,5.37787,0.63762
36,5.3305,0.63762
36.5,5.27585,0.644907
37,5.27221,0.681343
37.5,5.25763,0.677699
38,5.23577,0.670412
38.5,5.21391,0.659481
39,5.19569,0.626689
39.5,5.15561,0.652194
40,5.14833,0.684986
40.5,5.14833,0.684986
41,5.11918,0.677699
41.5,5.10096,0.681343
42,5.0791,0.677699
42.5,5.05724,0.68863
43,5.03902,0.655838
43.5,5.01716,0.633977
44,5.00259,0.674056
44.5,5.02809,0.674056
45,4.97708,0.681343
45.5,4.94793,0.663125
46,4.95886,0.684986
46.5,4.94064,0.674056
47,4.90421,0.666768
47.5,4.86777,0.666768
48,4.84227,0.684986
48.5,4.84956,0.692273
49,4.82405,0.674056
49.5,4.82405,0.681343
50,4.80948,0.710491
50.5,4.79126,0.677699
51,4.79855,0.681343
51.5,4.75482,0.666768
52,4.74389,0.670412
52.5,4.73296,0.670412
53,4.6856,0.692273
53.5,4.69288,0.717778
54,4.67102,0.706847
54.5,4.66374,0.677699
55,4.66374,0.681343
55.5,4.61637,0.710491
56,4.60908,0.684986
56.5,4.61637,0.69956
57,4.58722,0.721422
57.5,4.56172,0.706847
58,4.53257,0.717778
58.5,4.53986,0.706847
59,4.51435,0.68863
59.5,4.51071,0.674056
60,4.47427,0.684986
60.5,4.4852,0.703204
61,4.45241,0.692273
61.5,4.41597,0.69956
62,4.45605,0.721422
62.5,4.44877,0.728709
63,4.41233,0.695917
63.5,4.39411,0.68863
64,4.35403,0.728709
64.5,4.34675,0.692273
65,4.35403,0.674056
65.5,4.28845,0.710491
66,4.29574,0.703204
66.5,4.30302,0.714135
67,4.25566,0.706847
67.5,4.23015,0.732352
68,4.22287,0.743283
68.5,4.21558,0.714135
69,4.22651,0.728709
69.5,4.24473,0.69956
70,4.19736,0.714135
70.5,4.19372,0.739639
71,4.19372,0.714135
71.5,4.16093,0.703204
72,4.14271,0.717778
72.5,4.15364,0.735996
73,4.09899,0.717778
73.5,4.08806,0.721422
74,4.09534,0.732352
74.5,4.09534,0.735996
75,4.07348,0.743283
75.5,4.05526,0.735996
76,4.07348,0.735996
76.5,4.04798,0.75057
77,4.00425,0.765144
77.5,3.98968,0.725065
78,4.00061,0.728709
78.5,3.97511,0.746926
79,3.93867,0.728709
79.5,3.95689,0.739639
80,3.94596,0.721422
80.5,3.91681,0.710491
81,3.93503,0.746926
81.5,3.90952,0.743283
82,3.86944,0.757857
82.5,3.88766,0.754214
83,3.88037,0.735996
83.5,3.86216,0.768788
84,3.8658,0.75057
84.5,3.82208,0.732352
85,3.8075,0.772431
85.5,3.82208,0.776075
86,3.79293,0.765144
86.5,3.76014,0.743283
87,3.77107,0.739639
87.5,3.76378,0.746926
88,3.73828,0.728709
88.5,3.75649,0.721422
89,3.74921,0.757857
89.5,3.70913,0.761501
90,3.71277,0.761501
90.5,3.70548,0.772431
91,3.68362,0.783362
91.5,3.67998,0.776075
92,3.6654,0.794293
92.5,3.6654,0.757857
93,3.65447,0.768788
93.5,3.61804,0.797936
94,3.59618,0.75057
94.5,3.62168,0.772431
95,3.59982,0.776075
95.5,3.60346,0.75057
96,3.58889,0.779718
96.5,3.5816,0.816154
97,3.54152,0.761501
97.5,3.54881,0.757857
98,3.57067,0.783362
98.5,3.54152,0.779718
99,3.50145,0.772431
99.5,3.50509,0.783362
100,3.53788,0.732352
100.5,3.47958,0.746926
101,3.42857,0.772431
101.5,3.46137,0.754214
102,3.45408,0.765144
102.5,3.42857,0.776075
103,3.43586,0.757857
103.5,3.42493,0.772431
104,3.414,0.794293
104.5,3.37756,0.765144
105,3.38121,0.768788
105.5,3.37756,0.765144
106,3.3557,0.761501
106.5,3.3557,0.757857
107,3.37392,0.794293
107.5,3.32656,0.772431
108,3.30105,0.743283
108.5,3.3302,0.776075
109,3.31562,0.794293
109.5,3.27555,0.772431
110,3.28283,0.772431
110.5,3.32291,0.779718
111,3.26097,0.768788
111.5,3.25368,0.754214
112,3.26097,0.779718
112.5,3.21361,0.790649
113,3.23547,0.787005
113.5,3.22089,0.797936
114,3.23547,0.794293
114.5,3.20996,0.776075
115,3.16988,0.739639
115.5,3.19903,0.754214
116,3.1881,0.790649
116.5,3.1881,0.757857
117,3.19903,0.783362
117.5,3.16624,0.805223
118,3.11523,0.768788
118.5,3.12252,0.776075
119,3.13345,0.776075
119.5,3.1043,0.75057
120,3.11887,0.757857
120.5,3.09337,0.794293
121,3.08244,0.75057
121.5,3.07879,0.768788
122,3.07879,0.765144
122.5,3.06422,0.761501
123,3.07151,0.761501
123.5,3.06422,0.772431
124,3.04965,0.768788
124.5,3.04236,0.75057
125,3.01321,0.787005
125.5,3.00592,0.80158
126,3.03507,0.787005
126.5,3.01321,0.761501
127,2.99499,0.765144
127.5,2.98042,0.768788
128,2.96584,0.757857
128.5,2.96949,0.761501
129,3.00228,0.783362
129.5,2.95491,0.754214
130,2.9367,0.772431
130.5,2.98406,0.75057
131,2.92212,0.761501
131.5,2.91483,0.772431
132,2.92941,0.739639
132.5,2.91119,0.779718
133,2.9039,0.797936
133.5,2.88933,0.765144
134,2.86747,0.75057
134.5,2.88204,0.765144
135,2.85654,0.757857
135.5,2.83832,0.772431
136,2.86018,0.772431
136.5,2.84925,0.743283
137,2.83103,0.754214
137.5,2.82375,0.761501
138,2.82739,0.776075
138.5,2.80553,0.765144
139,2.79824,0.768788
139.5,2.81646,0.765144
140,2.81282,0.779718
140.5,2.78002,0.772431
141,2.78731,0.772431
141.5,2.79824,0.739639
142,2.75816,0.746926
142.5,2.76545,0.754214
143,2.76181,0.768788
143.5,2.74359,0.765144
144,2.7108,0.75057
144.5,2.74359,0.754214
145,2.72537,0.754214
145.5,2.71808,0.772431
146,2.7363,0.757857
146.5,2.70351,0.732352
147,2.70351,0.746926
147.5,2.68165,0.754214
148,2.66343,0.732352
148.5,2.69622,0.743283
149,2.69987,0.746926
149.5,2.678,0.743283
150,2.65979,0.743283
150.5,2.66343,0.743283
151,2.65979,0.746926
151.5,2.64886,0.754214
152,2.63064,0.761501
152.5,2.63428,0.754214
153,2.65614,0.732352
153.5,2.63428,0.732352
154,2.61242,0.761501
154.5,2.60513,0.757857
155,2.61242,0.739639
155.5,2.5942,0.721422
156,2.59056,0.739639
156.5,2.5942,0.776075
157,2.59056,0.754214
157.5,2.57599,0.743283
158,2.55777,0.754214
158.5,2.53591,0.75057
159,2.55412,0.739639
159.5,2.55777,0.768788
160,2.54319,0.761501
160.5,2.55048,0.743283
161,2.52133,0.746926
161.5,2.52862,0.714135
162,2.53591,0.754214
162.5,2.52862,0.761501
163,2.49947,0.757857
163.5,2.50311,0.728709
164,2.48854,0.721422
164.5,2.48125,0.754214
165,2.50311,0.761501
165.5,2.49218,0.728709
166,2.44117,0.732352
166.5,2.45939,0.721422
167,2.4849,0.75057
167.5,2.43389,0.75057
168,2.43753,0.739639
168.5,2.41567,0.754214
169,2.42296,0.725065
169.5,2.4266,0.706847
170,2.43024,0.728709
170.5,2.44846,0.732352
171,2.4011,0.721422
171.5,2.39016,0.725065
172,2.39381,0.739639
172.5,2.40838,0.739639
173,2.39745,0.732352
173.5,2.42296,0.735996
174,2.41203,0.721422
174.5,2.37923,0.728709
175,2.39745,0.725065
175.5,2.36102,0.717778
176,2.37923,0.732352
176.5,2.37195,0.739639
177,2.36466,0.725065
177.5,2.35373,0.703204
178,2.35009,0.735996
178.5,2.36466,0.725065
179,2.32822,0.703204
179.5,2.32458,0.732352
180,2.32094,0.743283
180.5,2.29543,0.706847
181,2.31001,0.703204
181.5,2.32822,0.728709
182,2.31365,0.746926
182.5,2.31729,0.739639
183,2.2845,0.732352
183.5,2.29543,0.732352
184,2.30272,0.692273
184.5,2.27357,0.703204
185,2.2845,0.725065
185.5,2.28815,0.746926
186,2.27357,0.721422
186.5,2.25171,0.714135
187,2.25535,0.717778
187.5,2.259,0.714135
188,2.23349,0.746926
188.5,2.24078,0.732352
189,2.22621,0.717778
189.5,2.22621,0.743283
190,2.24078,0.706847
190.5,2.21163,0.69956
191,2.21163,0.728709
191.5,2.20434,0.743283
192,2.21892,0.717778
192.5,2.17155,0.732352
193,2.16791,0.725065
193.5,2.20799,0.735996
194,2.20434,0.743283
194.5,2.17884,0.714135
195,2.17884,0.714135
195.5,2.15333,0.728709
196,2.16791,0.725065
196.5,2.16791,0.721422
197,2.14605,0.69956
197.5,2.15333,0.728709
198,2.14605,0.739639
198.5,2.15698,0.732352
199,2.15698,0.706847
199.5,2.1424,0.714135
200,2.12419,0.728709
200.5,2.12419,0.75057
201,2.13147,0.69956
201.5,2.13147,0.706847
202,2.1169,0.710491
202.5,2.10232,0.706847
203,2.12054,0.706847
203.5,2.09504,0.695917
204,2.09868,0.692273
204.5,2.09504,0.728709
205,2.09504,0.735996
205.5,2.08775,0.710491
206,2.09139,0.739639
206.5,2.09504,0.728709
207,2.08046,0.717778
207.5,2.07682,0.717778
208,2.06225,0.735996
208.5,2.03674,0.717778
209,2.05132,0.695917
209.5,2.06953,0.725065
210,2.06953,0.728709
210.5,2.05132,0.695917
211,2.04767,0.703204
211.5,2.04038,0.717778
212,2.03674,0.717778
212.5,2.01852,0.695917
213,2.00759,0.681343
213.5,1.9748,0.703204
214,2.00759,0.703204
214.5,2.00759,0.728709
215,1.99666,0.710491
215.5,2.01124,0.69956
216,2.01124,0.695917
216.5,1.98209,0.710491
217,1.96387,0.703204
217.5,1.9748,0.714135
218,1.98937,0.69956
218.5,1.99666,0.68863
219,1.96751,0.717778
219.5,1.9493,0.725065
220,1.95658,0.714135
220.5,1.9493,0.706847
221,1.94201,0.728709
221.5,1.9493,0.725065
222,1.95658,0.710491
222.5,1.93837,0.695917
223,1.90922,0.695917
223.5,1.9165,0.695917
224,1.90922,0.69956
224.5,1.91286,0.706847
225,1.9165,0.69956
225.5,1.92015,0.714135
226,1.93472,0.721422
226.5,1.90557,0.703204
227,1.9165,0.710491
227.5,1.9165,0.706847
228,1.90922,0.68863
228.5,1.90557,0.695917
229,1.90557,0.692273
229.5,1.891,0.714135
230,1.87642,0.706847
230.5,1.87278,0.706847
231,1.88007,0.703204
231.5,1.88007,0.710491
232,1.87642,0.732352
232.5,1.86185,0.69956
233,1.85456,0.677699
233.5,1.86185,0.695917
234,1.84728,0.703204
234.5,1.8327,0.684986
235,1.83999,0.684986
235.5,1.86549,0.695917
236,1.85092,0.706847
236.5,1.85092,0.703204
237,1.85092,0.706847
237.5,1.82542,0.69956
238,1.82906,0.68863
238.5,1.82906,0.670412
239,1.83999,0.684986
239.5,1.82542,0.684986
240,1.79627,0.674056
240.5,1.79991,0.69956
241,1.81448,0.69956
241.5,1.79627,0.695917
242,1.8072,0.703204
242.5,1.78169,0.68863
243,1.79627,0.670412
243.5,1.77805,0.655838
244,1.77076,0.695917
244.5,1.77441,0.684986
245,1.77076,0.674056
245.5,1.75254,0.674056
246,1.77805,0.670412
246.5,1.77441,0.68863
247,1.78534,0.684986
247.5,1.75254,0.670412
248,1.7489,0.663125
248.5,1.76348,0.670412
249,1.75619,0.674056
249.5,1.77805,0.692273
250,1.74161,0.681343
250.5,1.73797,0.666768
251,1.75983,0.663125
251.5,1.71247,0.663125
252,1.70882,0.703204
252.5,1.75619,0.677699
253,1.74526,0.670412
253.5,1.71975,0.684986
254,1.71975,0.684986
254.5,1.70882,0.69956
255,1.70518,0.69956
255.5,1.71611,0.68863
256,1.71611,0.663125
256.5,1.69789,0.674056
257,1.70882,0.670412
257.5,1.70153,0.670412
258,1.70882,0.681343
258.5,1.6906,0.677699
259,1.68332,0.663125
259.5,1.67239,0.652194
260,1.67967,0.68863
260.5,1.67239,0.655838
261,1.67239,0.633977
261.5,1.68332,0.681343
262,1.62502,0.684986
262.5,1.64324,0.681343
263,1.65781,0.663125
263.5,1.64688,0.659481
264,1.64324,0.670412
264.5,1.63959,0.655838
265,1.65053,0.644907
265.5,1.62866,0.644907
266,1.61409,0.652194
266.5,1.62866,0.663125
267,1.64688,0.652194
267.5,1.62866,0.641264
268,1.62866,0.659481
268.5,1.60316,0.674056
269,1.61409,0.677699
269.5,1.62138,0.63762
270,1.61773,0.663125
270.5,1.63959,0.670412
271,1.62138,0.663125
271.5,1.58494,0.68863
272,1.64324,0.666768
272.5,1.62502,0.644907
273,1.57765,0.652194
273.5,1.63231,0.63762
274,1.62138,0.655838
274.5,1.60316,0.659481
275,1.6068,0.63762
275.5,1.58859,0.633977
276,1.5813,0.644907
276.5,1.60316,0.641264
277,1.58494,0.659481
277.5,1.58859,0.659481
278,1.59587,0.663125
278.5,1.57401,0.626689
279,1.56672,0.641264
279.5,1.57765,0.663125
280,1.57765,0.644907
280.5,1.57037,0.619402
281,1.57037,0.630333
281.5,1.56308,0.641264
282,1.57401,0.666768
282.5,1.54122,0.644907
283,1.51936,0.63762
283.5,1.523,0.644907
284,1.50478,0.63762
284.5,1.54486,0.652194
285,1.54851,0.644907
285.5,1.51936,0.63762
286,1.523,0.63762
286.5,1.53029,0.615759
287,1.50843,0.612115
287.5,1.53758,0.652194
288,1.54122,0.641264
288.5,1.4975,0.623046
289,1.50843,0.652194
289.5,1.51207,0.652194
290,1.50114,0.626689
290.5,1.50114,0.604828
291,1.50478,0.604828
291.5,1.45742,0.63762
292,1.50843,0.623046
292.5,1.51207,0.630333
293,1.48292,0.633977
293.5,1.48292,0.604828
294,1.50843,0.652194
294.5,1.47199,0.630333
295,1.46835,0.630333
295.5,1.48292,0.652194
296,1.47928,0.641264
296.5,1.48657,0.623046
297,1.49021,0.612115
297.5,1.4975,0.619402
298,1.49021,0.63762
298.5,1.47564,0.604828
299,1.47199,0.630333
299.5,1.4647,0.623046
300,1.43191,0.648551
300.5,1.46106,0.633977
301,1.47564,0.626689
301.5,1.48292,0.623046
302,1.46835,0.623046
302.5,1.43191,0.619402
303,1.45013,0.615759
303.5,1.4647,0.633977
304,1.48292,0.623046
304.5,1.45013,0.604828
305,1.43191,0.615759
305.5,1.43556,0.630333
306,1.42463,0.608472
306.5,1.44284,0.604828
307,1.46106,0.615759
307.5,1.42827,0.604828
308,1.42463,0.58661
308.5,1.44649,0.604828
309,1.42098,0.641264
309.5,1.43556,0.608472
310,1.41734,0.58661
310.5,1.43556,0.612115
311,1.43191,0.601185
311.5,1.41005,0.623046
312,1.40641,0.608472
312.5,1.41005,0.601185
313,1.37362,0.604828
313.5,1.40276,0.604828
314,1.40641,0.641264
314.5,1.3809,0.63762
315,1.36633,0.623046
315.5,1.41369,0.633977
316,1.39183,0.630333
316.5,1.37362,0.623046
317,1.39912,0.612115
317.5,1.39183,0.615759
318,1.37726,0.630333
318.5,1.36633,0.626689
319,1.35175,0.630333
319.5,1.37362,0.604828
320,1.38455,0.612115
320.5,1.39548,0.612115
321,1.38455,0.582967
321.5,1.37362,0.601185
322,1.39548,0.604828
322.5,1.39912,0.582967
323,1.36633,0.619402
323.5,1.36269,0.615759
324,1.37726,0.597541
324.5,1.36997,0.623046
325,1.36269,0.626689
