0,-1586.28,-167.52
0.01,-1240.94,-104.854
0.02,-1006.07,-101.993
0.03,-875.958,-117.128
0.04,-784.322,-118.837
0.05,-739.464,-98.6616
0.06,-726,-72
0.07,-744,-58
0.08,-762,-58
0.09,-751,-68
0.1,-730,-82
0.11,-731,-86
0.12,-746,-71
0.13,-742,-52
0.14,-726,-49
0.15,-730,-67
0.16,-741,-83
0.17,-718,-82
0.18,-676,-67
0.19,-674,-55
0.2,-713,-57
0.21,-744,-65
0.22,-751,-65
0.23,-753,-55
0.24,-761,-36
0.25,-764,-15
0.26,-758,-15
0.27,-742,-35
0.28,-713,-53
0.29,-682,-58
0.3,-679,-50
0.31,-709,-34
0.32,-735,-23
0.33,-731,-35
0.34,-714,-74
0.35,-719,-124
0.36,-739,-152
0.37,-739,-142
0.38,-704,-107
0.39,-664,-80
0.4,-652,-81
0.41,-665,-101
0.42,-668,-120
0.43,-658,-125
0.44,-657,-116
0.45,-665,-101
0.46,-658,-74
0.47,-639,-48
0.48,-642,-55
0.49,-671,-82
0.5,-697,-86
0.51,-694,-62
0.52,-659,-39
0.53,-618,-47
0.54,-606,-75
0.55,-626,-79
0.56,-658,-54
0.57,-680,-35
0.58,-687,-24
0.59,-684,-14
0.6,-677,-31
0.61,-669,-74
0.62,-668,-93
0.63,-667,-75
0.64,-664,-50
0.65,-671,-26
0.66,-683,-14
0.67,-678,-29
0.68,-654,-50
0.69,-628,-57
0.7,-615,-58
0.71,-616,-61
0.72,-627,-56
0.73,-629,-43
0.74,-614,-46
0.75,-602,-60
0.76,-621,-64
0.77,-664,-61
0.78,-696,-65
0.79,-698,-63
0.8,-683,-49
0.81,-661,-34
0.82,-645,-18
0.83,-647,0
0.84,-658,0
0.85,-656,-25
0.86,-625,-50
0.87,-573,-44
0.88,-537,-14
0.89,-540,-10
0.9,-571,-37
0.91,-596,-55
0.92,-605,-59
0.93,-610,-70
0.94,-617,-77
0.95,-621,-62
0.96,-617,-37
0.97,-599,-18
0.98,-581,-13
0.99,-587,-26
1,-618,-44
1.01,-645,-56
1.02,-654,-53
1.03,-647,-29
1.04,-628,-1
1.05,-602,0
1.06,-582,-19
1.07,-580,-43
1.08,-586,-73
1.09,-580,-92
1.1,-571,-76
1.11,-579,-42
1.12,-603,-24
1.13,-623,-32
1.14,-621,-52
1.15,-605,-71
1.16,-600,-90
1.17,-599,-103
1.18,-582,-88
1.19,-559,-65
1.2,-562,-81
1.21,-585,-110
1.22,-593,-101
1.23,-583,-69
1.24,-577,-55
1.25,-578,-60
1.26,-578,-59
1.27,-583,-45
1.28,-591,-42
1.29,-584,-53
1.3,-564,-53
1.31,-546,-28
1.32,-536,0
1.33,-531,7
1.34,-529,-1
1.35,-544,-5
1.36,-578,-11
1.37,-603,-25
1.38,-591,-37
1.39,-563,-44
1.4,-548,-53
1.41,-549,-52
1.42,-549,-32
1.43,-541,-5
1.44,-537,1
1.45,-541,-19
1.46,-524,-42
1.47,-484,-53
1.48,-460,-60
1.49,-470,-60
1.5,-495,-44
1.51,-527,-18
1.52,-551,-7
1.53,-534,-14
1.54,-493,-18
1.55,-485,-25
1.56,-520,-49
1.57,-551,-60
1.58,-551,-43
1.59,-523,-28
1.6,-494,-36
1.61,-481,-49
1.62,-480,-48
1.63,-481,-39
1.64,-481,-41
1.65,-487,-58
1.66,-489,-64
1.67,-473,-53
1.68,-459,-31
1.69,-455,-3
1.7,-450,12
1.71,-444,2
1.72,-444,-21
1.73,-442,-48
1.74,-436,-77
1.75,-444,-93
1.76,-459,-86
1.77,-459,-51
1.78,-447,-2
1.79,-440,22
1.8,-435,2
1.81,-435,-36
1.82,-448,-58
1.83,-466,-62
1.84,-473,-54
1.85,-471,-40
1.86,-466,-16
1.87,-456,2
1.88,-443,-4
1.89,-434,-13
1.9,-429,-2
1.91,-429,6
1.92,-445,-12
1.93,-470,-36
1.94,-479,-37
1.95,-457,-23
1.96,-421,-27
1.97,-395,-45
1.98,-385,-42
1.99,-382,-20
2,-380,-15
2.01,-383,-35
2.02,-395,-53
2.03,-397,-58
2.04,-375,-60
2.05,-340,-65
2.06,-320,-73
2.07,-334,-82
2.08,-377,-76
2.09,-414,-50
2.1,-421,-17
2.11,-414,0
2.12,-403,-5
2.13,-392,-16
2.14,-388,-18
2.15,-388,-27
2.16,-391,-49
2.17,-406,-50
2.18,-416,-18
2.19,-400,8
2.2,-379,-10
2.21,-382,-63
2.22,-393,-102
2.23,-386,-93
2.24,-374,-45
2.25,-378,6
2.26,-393,41
2.27,-392,52
2.28,-372,28
2.29,-356,-12
2.3,-357,-38
2.31,-366,-52
2.32,-369,-57
2.33,-362,-46
2.34,-344,-28
2.35,-325,-15
2.36,-331,-7
2.37,-352,0
2.38,-347,1
2.39,-317,-14
2.4,-295,-31
2.41,-298,-19
2.42,-304,16
2.43,-295,29
2.44,-287,1
2.45,-286,-29
2.46,-280,-22
2.47,-265,17
2.48,-254,56
2.49,-258,59
2.5,-270,19
2.51,-275,-24
2.52,-275,-34
2.53,-275,-25
2.54,-269,-21
2.55,-257,-17
2.56,-241,-10
2.57,-221,-12
2.58,-215,-22
2.59,-228,-19
2.6,-236,-4
2.61,-230,-3
2.62,-228,-12
2.63,-240,-7
2.64,-240,9
2.65,-220,18
2.66,-212,31
2.67,-238,53
2.68,-261,61
2.69,-252,41
2.7,-223,8
2.71,-185,-16
2.72,-155,-16
2.73,-151,0
2.74,-163,14
2.75,-163,24
2.76,-155,39
2.77,-154,53
2.78,-159,54
2.79,-162,40
2.8,-167,9
2.81,-180,-25
2.82,-186,-34
2.83,-173,-33
2.84,-160,-56
2.85,-154,-75
2.86,-144,-59
2.87,-138,-28
2.88,-143,-1
2.89,-156,25
2.9,-171,39
2.91,-181,37
2.92,-183,25
2.93,-184,9
2.94,-184,0
2.95,-173,3
2.96,-163,11
2.97,-161,5
2.98,-154,-10
2.99,-150,-19
3,-152,-23
3.01,-139,-25
3.02,-119,-20
3.03,-109,-9
3.04,-100,-1
3.05,-84,1
3.06,-81,-5
3.07,-94,-13
3.08,-110,-11
3.09,-119,4
3.1,-122,21
3.11,-118,20
3.12,-112,-10
3.13,-109,-27
3.14,-109,-5
3.15,-96,25
3.16,-67,45
3.17,-42,57
3.18,-37,46
3.19,-39,17
3.2,-43,-2
